INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
FALLOWFIELD @ CEDARVIEW,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,1,N/A,13,5,9,,,,,,,,28,13,48
INNES @ ORLEANS,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,12,8,4,11,10,,,,,,,,45,12,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,37,20,39,43,44,,,,,,,,183,44,50
ST. JOSEPH @ TENTH LINE ,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,24,23,31,15,23,,,,,,,,116,31,51
HERON @ 155m W OF BANK ,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,48,74,128,117,134,,,,,,,,501,134,52
TENTH LINE @ VANGUARD,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,55,57,50,38,52,,,,,,,,252,57,53
HAWTHORNE @ LEITRIM ,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,1,6,4,7,7,,,,,,,,25,7,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,N/A,N/A,N/A,N/A,N/A,,,,,,,,0,0,55
WALKLEY @ RYDER / DON RIED,2020,45.3822204,-75.63422114,372601.7269,5027284.544,Westbound,65,74,85,119,137,,,,,,,,480,137,56
BANK @ HUNT CLUB,2020,45.35363104,-75.64733066,371608.731,5024096.514,Northbound,14,8,9,14,3,,,,,,,,48,14,57
O'CONNOR ST @ HWY 417 WB ON RAMP / CATHERINE,2020,45.41059366,-75.68946433,368243.711,5030392.564,Southbound,N/A,N/A,N/A,N/A,N/A,,,,,,,,0,0,58
CARLING @ IROQUOIS,2020,45.37182033,-75.76700336,362213.686,5026025.53,Eastbound,34,35,22,29,43,,,,,,,,163,43,59
KING EDWARD @ BESSERER,2020,45.42809335,-75.68529062,368550.7052,5032340.582,Northbound,98,96,136,131,143,,,,,,,,604,143,60
RUSSELL @ ST-LAURENT,2020,45.39990521,-75.62158646,373569.7331,5029260.545,Southbound,60,71,56,70,49,,,,,,,,306,71,61
MONTREAL @ BRITTANY,2021,45.44266084,-75.64210469,371912.714,5033994.593,Westbound,49,37,54,52,80,,,,,,,,272,80,62
HUNT CLUB @ DOWNPARTICK /MCCARTY,2021,45.34747262,-75.66147357,370507.726,5023400.509,Eastbound,76,86,114,111,123,,,,,,,,510,123,63
HERON @ JEFFERSON,2021,45.38020918,-75.6443775,371808.7279,5027052.536,Westbound,29,26,50,47,65,,,,,,,,217,65,64
MARCH @ CARP,2021,45.33454599,-76.02328249,342164.5471,5021732.505,Eastbound,5,5,9,9,16,,,,,,,,44,16,65
JEANNE D'ARC @ CHAMPLAIN,2021,45.48423559,-75.52036864,381379.7381,5038723.597,Eastbound,26,10,13,19,30,,,,,,,,98,30,66
EAGLESON @ COPE,2021,45.28243692,-75.86494308,354620.626,5016027.438,Southbound,36,27,40,56,39,,,,,,,,198,56,67
CARLING @ ISLAND PARK,2021,45.38930031,-75.72674059,365348.6989,5027997.548,Westbound,39,36,40,53,75,,,,,,,,243,75,68
ALBION @ RIDEAU,2022,45.28650966,-75.60392333,375092.7522,5016674.46,Southbound,14,10,19,27,25,,,,,,,,95,27,69
BANK @ RIVERSIDE N,2022,45.38882841,-75.67723452,369225.7159,5027983.546,Northbound,N/A,N/A,N/A,N/A,N/A,,,,,,,,0,0,70
HUNT CLUB @ CAHILL,2022,45.35756736,-75.63707326,372407.7347,5024542.509,Westbound,12,14,19,18,25,,,,,,,,88,25,71
CARLING @ MERIVALE,2022,45.38666703,-75.73257414,364894.7038,5027700.544,Westbound,19,24,33,39,41,,,,,,,,156,41,72
CARLING @ 195M W OF IROQUOIS,2022,45.37087356,-75.76881154,362073.0121,5025919.029,Westbound,28,21,45,48,47,,,,,,,,189,48,73
CARLING @ FAIRLAWN,2022,45.37008858,-75.77058769,361934.679,5025830.534,Eastbound,11,15,26,20,15,,,,,,,,87,26,74
CARP @ RICHARDSON SIDE,2022,45.29317806,-75.97205827,346209.5557,5017160.457,Southbound,9,10,13,13,17,,,,,,,,62,17,75
CONROY @ JOHNSTON,2022,45.37336061,-75.62420532,373396.8071,5026308.46,Northbound,59,43,37,35,46,,,,,,,,220,59,76
CONROY @ LORRY GREENBERG,2022,45.36947236,-75.62207744,373568.186,5025878.183,Northbound,34,36,46,29,48,,,,,,,,193,48,77
SMYTH @ HAIG,2022,45.40034514,-75.63441699,372564.7249,5029298.548,Eastbound,11,12,7,16,9,,,,,,,,55,16,78
CARLING @ HOLLY ACRES,2022,45.34938793,-75.81807293,358234.6563,5023497.518,Eastbound,105,70,101,106,120,,,,,,,,502,120,79
JEANNE D'ARC @ VINEYARDS /FORTUNE,2022,45.47233893,-75.54795751,379238.7286,5037375.598,Northbound,N/A,N/A,N/A,N/A,N/A,,,,,,,,0,0,80
TERRY FOX @ 135M S OF HAZELDEAN,2022,45.29260541,-75.89451488,352292.2135,5017139.577,Northbound,64,41,64,57,92,,,,,,,,318,92,81
VANIER PARKWAY @ PRESLAND,2022,45.42262016,-75.6613151,370433.1219,5031751.637,Southbound,41,63,53,85,149,,,,,,,,391,149,82
ELGIN ST @ SLATER ST,2022,45.42190879,-75.69381322,367890.7049,5031646.579,Southbound,57,23,40,49,51,,,,,,,,220,57,83
WELLINGTON ST @ BAY ST,2022,45.41935066,-75.70759843,366814.7011,5031351.577,Eastbound,146,135,160,183,215,,,,,,,,839,215,84
NAVAN @ RENAUD,2022,45.43032102,-75.51571663,381816.7611,5032736.549,Southbound,4,2,5,6,3,,,,,,,,20,6,85
MAITLAND @ ERINDALE/GLENMOUNT,2025,45.36426544,-75.7477951,363726.061,5025199.85,Northbound,N/A,76,100,94,101,,,,,,,,371,101,86
